time,ad,count,nfr
8/13/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,76,AD_INV_SRC_TYPE
8/13/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,9381058,AD_SUPPLY_INC_EXC
8/13/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,2,BIDDER_FLOOR_UNMET
8/13/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,2041268,DEVICE_TYPE
8/13/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,40,FILL
8/13/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,4091542,LOST_TO_COMPETITION
8/13/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,47058502,NO_ADS_COUNTRY_CARRIER_OS_BRAND
8/13/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,17719,SITE_AD_DOMAIN
8/13/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,76,AD_INV_SRC_TYPE
8/13/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,9381058,AD_SUPPLY_INC_EXC
8/13/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,2,BIDDER_FLOOR_UNMET
8/13/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,2041268,DEVICE_TYPE
8/13/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,4636,FILL
8/13/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,4086946,LOST_TO_COMPETITION
8/13/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,47058502,NO_ADS_COUNTRY_CARRIER_OS_BRAND
8/13/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,17719,SITE_AD_DOMAIN
8/13/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,65,AD_INV_SRC_TYPE
8/13/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,9381058,AD_SUPPLY_INC_EXC
8/13/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,3,BIDDER_FLOOR_UNMET
8/13/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,1556859,CAMPAIGN_DATE_BUDGET
8/13/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,1815935,DEVICE_TYPE
8/13/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,171661,FILL
8/13/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,3311512,LOST_TO_COMPETITION
8/13/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,46336408,NO_ADS_COUNTRY_CARRIER_OS_BRAND
8/13/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,16706,SITE_AD_DOMAIN
8/13/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,65,AD_INV_SRC_TYPE
8/13/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,9381058,AD_SUPPLY_INC_EXC
8/13/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,3,BIDDER_FLOOR_UNMET
8/13/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,1556858,CAMPAIGN_DATE_BUDGET
8/13/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,1815935,DEVICE_TYPE
8/13/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,1347765,FILL
8/13/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,2135409,LOST_TO_COMPETITION
8/13/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,46336408,NO_ADS_COUNTRY_CARRIER_OS_BRAND
8/13/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,16706,SITE_AD_DOMAIN
8/14/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,61,AD_INV_SRC_TYPE
8/14/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,218,BIDDER_FLOOR_UNMET
8/14/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,944587,DEVICE_TYPE
8/14/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,25,FILL
8/14/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,1114387,LOST_TO_COMPETITION
8/14/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,1331081,NO_ADS_COUNTRY_CARRIER_OS_BRAND
8/14/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,4461,SITE_AD_DOMAIN
8/14/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,61,AD_INV_SRC_TYPE
8/14/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,218,BIDDER_FLOOR_UNMET
8/14/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,944587,DEVICE_TYPE
8/14/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,22,FILL
8/14/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,1114390,LOST_TO_COMPETITION
8/14/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,1331081,NO_ADS_COUNTRY_CARRIER_OS_BRAND
8/14/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,4461,SITE_AD_DOMAIN
8/14/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,59,AD_INV_SRC_TYPE
8/14/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,232,BIDDER_FLOOR_UNMET
8/14/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,36570,CAMPAIGN_DATE_BUDGET
8/14/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,938761,DEVICE_TYPE
8/14/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,48348,FILL
8/14/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,1037687,LOST_TO_COMPETITION
8/14/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,1328792,NO_ADS_COUNTRY_CARRIER_OS_BRAND
8/14/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,4371,SITE_AD_DOMAIN
8/14/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,59,AD_INV_SRC_TYPE
8/14/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,232,BIDDER_FLOOR_UNMET
8/14/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,36570,CAMPAIGN_DATE_BUDGET
8/14/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,938761,DEVICE_TYPE
8/14/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,202623,FILL
8/14/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,883412,LOST_TO_COMPETITION
8/14/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,1328792,NO_ADS_COUNTRY_CARRIER_OS_BRAND
8/14/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,4371,SITE_AD_DOMAIN
8/15/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,44,AD_INV_SRC_TYPE
8/15/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,568430,DEVICE_TYPE
8/15/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,604563,LOST_TO_COMPETITION
8/15/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,3166485,NO_ADS_COUNTRY_CARRIER_OS_BRAND
8/15/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,2042,SITE_AD_DOMAIN
8/15/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,44,AD_INV_SRC_TYPE
8/15/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,568430,DEVICE_TYPE
8/15/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,604563,LOST_TO_COMPETITION
8/15/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,3166485,NO_ADS_COUNTRY_CARRIER_OS_BRAND
8/15/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,2042,SITE_AD_DOMAIN
8/15/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,44,AD_INV_SRC_TYPE
8/15/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,1,BIDDER_FLOOR_UNMET
8/15/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,568430,DEVICE_TYPE
8/15/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,61397,FILL
8/15/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,543166,LOST_TO_COMPETITION
8/15/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,3166484,NO_ADS_COUNTRY_CARRIER_OS_BRAND
8/15/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,2042,SITE_AD_DOMAIN
8/15/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,44,AD_INV_SRC_TYPE
8/15/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,1,BIDDER_FLOOR_UNMET
8/15/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,568430,DEVICE_TYPE
8/15/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,68828,FILL
8/15/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,535735,LOST_TO_COMPETITION
8/15/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,3166484,NO_ADS_COUNTRY_CARRIER_OS_BRAND
8/15/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,2042,SITE_AD_DOMAIN
8/16/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,128,AD_INV_SRC_TYPE
8/16/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,67485,BIDDER_FLOOR_UNMET
8/16/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,4100364,DEVICE_TYPE
8/16/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,15585,FILL
8/16/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,1900027,LOST_TO_COMPETITION
8/16/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,5344591,NO_ADS_COUNTRY_CARRIER_OS_BRAND
8/16/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,12944,SITE_AD_DOMAIN
8/16/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,128,AD_INV_SRC_TYPE
